ID,composition,temperature,target,log_target,family,ChemicalFamily,,,source
548,Li3.4Ge0.4P0.6O4,30,4.50E-06,-5.346787486,LISICON,Oxides,,,10.1016/j.ssi.2012.05.011
,LiTi2(PO4)3,24.925,3.62E-05,-5.279734365,NASICON,Oxides,,,10.1007/s10008-012-1780-x
643,Li0.3Sr0.6Ti0.5Nb0.5O3,30,5.40E-06,-5.26760624,Perovskite,Oxides,,,10.1016/j.ssi.2012.05.011
480,Li1.5In0.5Ge1.5(PO4)3,25,5.75E-06,-5.240332155,NASICON,Oxides,,,10.1016/S0955-2219(99)00055-2
814,Li6BaLa2Nb2O12,22,6.00E-06,-5.22184875,Garnet,Oxides,,,
864,(Li0.5La0.5TiO3)94(SiO2)6,15,6.30E-06,-5.200659451,Glass-Ceramic,Oxides,,,
723,Li2Ca(NH)2,25,6.40E-06,-5.193820026,Other,Other,,,10.1016/0167-2738(93)90387-I
,Li6Sr0.5Ba0.5La2Ta2O12,26.5,0.00000727,-5.141178061,Garnet,Oxides,,,10.1149/1.2086597
930,Li2ZrS3,30,7.30E-06,-5.13667714,Thio-LISICON,Sulphides,,,10.1016/0167-2738(94)90299-2
660,Li0.10La0.66Ti0.90Al0.10O3,27,7.34E-06,-5.13430394,Perovskite,Oxides,,,10.1246/bcsj.65.2200
733,Li5La3Nb2O12,15,8.00E-06,-5.096910013,Garnet,Oxides,,,10.1016/0167-2738(93)90387-I
2001,Li0.8La0.066Zr2(PO4)3,25,8.20E-06,-5.086338509,NASICON,Oxides,,,10.1246/bcsj.65.2200
407,Li2InTi(PO4)3,25,8.30E-06,-5.080921908,NASICON,Oxides,,,
,Li6SrLa2Ta2O12,28.33333333,9.27E-06,-5.056641611,Garnet,Oxides,,,10.1149/1.2096693
479,Li1.3In0.3Ge1.7(PO4)3,25,9.22E-06,-5.035269079,NASICON,Oxides,,,10.1016/0167-2738(93)90387-I
659,Li0.15La0.66Ti0.85Al0.15O3,25,9.66E-06,-5.015022874,Perovskite,Oxides,,,10.1246/bcsj.65.2200
865,(Li0.5La0.5TiO3)97(SiO2)3,15,1.00E-05,-5,Glass-Ceramic,Oxides,,,10.1016/0167-2738(93)90387-I
774,Li5.5La2.75K0.25Nb2O12,25,1.06E-05,-4.974694135,Garnet,Oxides,,,
430,Li1.5Al0.5Ti1.5(PO4)3,25,1.10E-05,-4.958607315,NASICON,Oxides,,,10.1016/0167-2738(93)90387-I
547,Li3.6Ge0.6P0.4O4,30,1.10E-05,-4.958607315,LISICON,Oxides,,,10.1149/1.2086597
866,(Li0.5La0.5TiO3)95(SiO2)5,15,1.25E-05,-4.903089987,Glass-Ceramic,Oxides,,,10.3389/fenrg.2016.00012
362,Li3Al0.4Sc1.6(PO4)3,25,1.28E-05,-4.89279003,NASICON,Oxides,,,10.3389/fenrg.2016.00012
332,Li1.6Ga0.6Ti1.4(PO4)3,25,1.30E-05,-4.886056648,NASICON,Oxides,,,10.5796/electrochemistry.82.870
650,LiSr1.65Zr1.3Ta1.7O9,25,1.30E-05,-4.886056648,Perovskite,Oxides,,,10.1016/j.ssi.2004.05.009
,Li7La3Zr2O12,26.425,0.000134288,-4.883955018,Garnet,Oxides,,,10.1016/j.ssi.2013.09.022
791,Li2SnS3,25,1.36E-05,-4.866461092,Rocksalt,Sulphides,,,10.1021/cm021717j
2000,(YPO4)0.8(Li3PO4)0.2,25,1.41E-05,-4.851039883,Zircon,Oxides,,,10.1021/cm021717j
895,Li4.4Ga0.4Ge0.6S4,30,1.63E-05,-4.787812396,Thio-LISICON,Sulphides,,,10.1016/j.ssi.2013.09.022
658,Li0.30La0.66Ti0.70Al0.30O3,25,1.72E-05,-4.764471553,Perovskite,Oxides,,,10.1016/j.ssi.2013.09.022
466,Li1.2Cr0.2Ti1.8(PO4)3,25,1.83E-05,-4.73754891,NASICON,Oxides,,,
403,Li1.3Al0.15Y0.15Ti1.7(PO4)3,25,1.90E-05,-4.721246399,NASICON,Oxides,,,10.1149/1.2086597
549,Li3.2Ge0.2V0.8O4,30,1.90E-05,-4.721246399,LISICON,Oxides,,,10.1149/1.2086597
683,Li0.36La0.55TiO3,30,2.00E-05,-4.698970004,Perovskite,Oxides,,,10.1016/0167-2738(93)90387-I
713,Li5La3Bi2O12,25,2.00E-05,-4.698970004,Garnet,Oxides,,,10.1149/1.2086597
649,LiSr1.65Ti1.3Nb1.7O9,25,2.00E-05,-4.698970004,Perovskite,Oxides,,,10.1149/1.2096693
380,Li1.4Lu0.4Hf1.6(PO4)3,25,2.06E-05,-4.68613278,NASICON,Oxides,,,10.1016/0167-2738(93)90387-I
,Li0.5La0.5TiO3,21.33333333,0.0000299,-4.681188116,Perovskite,Oxides,,,
374,Li1.4Y0.4Hf1.6(PO4)3,25,2.09E-05,-4.679853714,NASICON,Oxides,,,10.1016/0167-2738(93)90387-I
636,La0.313Li0.06NbO3,25,2.33E-05,-4.632644079,Other,Oxides,,,10.1149/1.2086597
477,Li1.7Fe0.7Ge1.3(PO4)3,25,2.37E-05,-4.625251654,NASICON,Oxides,,,10.1016/0167-2738(86)90176-1
773,Li5.5La3Nb1.75In0.25O12,25,2.40E-05,-4.619788758,Garnet,Oxides,,,10.1016/0167-2738(93)90387-I
478,Li1.7Ga0.7Ge1.3(PO4)3,25,2.43E-05,-4.614393726,NASICON,Oxides,,,10.1149/1.2096693
379,Li1.1Sc0.1Hf1.9(PO4)3,25,2.45E-05,-4.610833916,NASICON,Oxides,,,10.3389/fenrg.2016.00012
476,Li1.5Sc0.5Ge1.5(PO4)3,25,2.51E-05,-4.600326279,NASICON,Oxides,,,10.3389/fenrg.2016.00012
836,Li5.4La3Nb1.8Y0.75O12,25,2.51E-05,-4.599980365,Garnet,Oxides,,,
,Li6BaLa2Ta2O12,22.25,0.000028825,-4.584121883,Garnet,Oxides,,,10.1021/cm010528i
639,Li0.3Sr0.6Ti0.35Fe0.15Ta0.5O3,25,2.80E-05,-4.552841969,Perovskite,Oxides,,,10.1016/0167-2738(93)90387-I
472,Li1.3Sc0.3Ge1.7(PO4)3,25,2.98E-05,-4.525783736,NASICON,Oxides,,,10.1149/1.2086597
426,Li1.1Al0.1Ti1.9(PO4)3,25,3.00E-05,-4.522878745,NASICON,Oxides,,,10.1149/1.2086597
437,Li1.2Al0.2Ge0.8Ti(PO4)3,25,3.00E-05,-4.522878745,NASICON,Oxides,,,10.1246/bcsj.65.2200
438,Li1.2Al0.2Ge1.0Ti0.8(PO4)3,25,3.00E-05,-4.522878745,NASICON,Oxides,,,10.1016/j.ssi.2005.07.010
439,Li1.8Al0.8Ge1.0Ti0.2(PO4)3,25,3.00E-05,-4.522878745,NASICON,Oxides,,,10.1246/bcsj.65.2200
,Li1.3Cr0.3Ge1.7(PO4)3,25,0.00003065,-4.522791904,NASICON,Oxides,,,10.1149/1.2086597
369,Li1.2Y0.2Hf1.8(PO4)3,25,3.19E-05,-4.496209317,NASICON,Oxides,,,10.1149/1.2096693
378,Li1.3Y0.3Hf1.7(PO4)3,25,3.19E-05,-4.496209317,NASICON,Oxides,,,10.1246/bcsj.65.2200
550,Li3.6Ge0.6V0.4O4,30,3.19E-05,-4.496209317,LISICON,Oxides,,,10.1149/1.2086597
651,LiSr2Ti2TaO9,30,3.20E-05,-4.494850022,Perovskite,Oxides,,,10.1021/cm021717j
635,La0.303Li0.09NbO3,25,3.52E-05,-4.453457337,Other,Oxides,,,10.1021/cm021717j
360,Li1.3Cr0.3Ti1.7(PO4)3,25,3.53E-05,-4.452225295,NASICON,Oxides,,,10.1021/cm021717j
377,Li1.3Lu0.3Hf1.7(PO4)3,25,3.56E-05,-4.448550002,NASICON,Oxides,,,
640,Li0.3Sr0.6Ti0.40Fe0.10Ta0.5O3,25,3.60E-05,-4.443697499,Perovskite,Oxides,,,10.1149/1.2086597
475,Li1.3Fe0.3Ge1.7(PO4)3,25,3.67E-05,-4.435333936,NASICON,Oxides,,,10.1016/0167-2738(86)90176-1
425,Li1.7Al0.7Ti1.3(PO4)3,25,3.70E-05,-4.431798276,NASICON,Oxides,,,10.1016/0167-2738(86)90176-1
771,Li6.75La3Zr1.875Te0.125O12,30,3.77E-05,-4.424235019,Garnet,Oxides,,,10.1016/S0955-2219(99)00055-2
,Li1.3In0.3Hf1.7(PO4)3,25,0.000076,-4.423855828,NASICON,Oxides,,,10.1016/S0955-2219(99)00055-2
634,La0.273Li0.18NbO3,25,3.82E-05,-4.417936637,Other,Oxides,,,10.1246/bcsj.65.2200
633,La0.283Li0.15NbO3,25,3.85E-05,-4.41453927,Other,Oxides,,,10.1246/bcsj.65.2200
424,Li1.3Al0.3Ge1.7(PO4)3,25,3.90E-05,-4.408935393,NASICON,Oxides,,,10.1021/cm021717j
632,La0.29Li0.12NbO3,25,4.25E-05,-4.37161107,Other,Oxides,,,10.1021/cm021717j
657,Li0.20La0.66Ti0.80Al0.20O3,25,4.28E-05,-4.368556231,Perovskite,Oxides,,,10.1016/0167-2738(88)90291-3
893,Li4.4Al0.4Ge0.6S4,30,4.33E-05,-4.363512104,Thio-LISICON,Sulphides,,,10.1016/0167-2738(86)90179-7
648,LiSr1.65Ti1.3Ta1.7O9,25,4.90E-05,-4.30980392,Perovskite,Oxides,,,10.1016/j.ssi.2008.03.001
436,Li1.6Al0.6Ge1.0Ti0.4(PO4)3,25,5.00E-05,-4.301029996,NASICON,Oxides,,,10.1107/S2052520615022283
599,La0.55Li0.36Ti0.95Ru0.05O3,25,5.20E-05,-4.283996656,Perovskite,Oxides,,,10.1016/j.jpowsour.2014.07.159
645,Li0.15La0.51Sr0.15TiO3,25,5.30E-05,-4.27572413,Perovskite,Oxides,,,
376,Li1.3Fe0.3Hf1.7(PO4)3,25,5.40E-05,-4.26760624,NASICON,Oxides,,,10.1149/2.0501412jes
465,Li1.5Y0.5Ti1.5(PO4)3,25,5.44E-05,-4.2644011,NASICON,Oxides,,,10.1021/ja407393y
371,Li1.2Sc0.2Hf1.8(PO4)3,25,5.86E-05,-4.232102384,NASICON,Oxides,,,10.1039/C6CC02131J
373,Li1.1Lu0.1Hf1.9(PO4)3,25,5.88E-05,-4.230622674,NASICON,Oxides,,,10.1016/0013-4686(77)80035-2
810,Li6.8La3Zr1.8Sb0.2O12,30,5.90E-05,-4.229147988,Garnet,Oxides,,,10.1149/1.2119778
,Li6.25Ba1.25La1.75Ta2O12,26,0.000078,-4.229023263,Garnet,Oxides,,,10.1002/aenm.201700971
641,Li0.3Sr0.6Ti0.45Fe0.05Ta0.5O3,30,6.00E-05,-4.22184875,Perovskite,Oxides,,,10.1016/j.ssi.2008.01.055
386,Li1.3Eu0.3Ti1.7(PO4)3,25,6.00E-05,-4.22184875,NASICON,Oxides,,,10.1002/aenm.201700971
435,Li1.4Al0.4Ge0.8Ti0.8(PO4)3,25,6.00E-05,-4.22184875,NASICON,Oxides,,,10.1002/aenm.201700971
211,Li0.1Na0.1La0.6TiO3,34,6.15E-05,-4.211124884,Perovskite,Oxides,,,10.1016/S0925-8388(96)02746-6
