MP ID,Formula,Energy Above Hull (eV),Band Gap (eV)
mp-1223707,KNa2LiTi2MnFe(SiO3)8,0.001986497,2.1473
mp-851118,KNa2LiZr2(Si2O5)6,0.015780769,4.7587
mp-14484,KNaLi2(SO4)2,0,5.2971
mp-941221,Li(BH)5,0.055241782,4.9946
mp-1198726,Li(BH)6,0,5.6126
mp-774082,Li(CoO2)2,0,0.6659
mp-759301,Li(CoO2)3,0.015680742,1.1138
mp-1290247,Li(CoO2)4,0.016535531,1.1774
mp-997515,Li(Fe2O3)4,0.051568438,0.8754
mp-25576,Li(MoO2)2,0.015883904,1.4741
mp-774941,Li(NiO2)2,0,0.7825
mp-1222821,Li(NiO2)3,0.056066059,0.7591
mp-23122,Li10B14Cl2O25,0.002686595,6.4019
mp-28989,Li10BrN3,0,1.3667
mp-763575,Li10Co(SiO5)2,0.0510584,1.9617
mp-530277,Li10Co11O21,0.02607877,0.5341
mp-1185179,Li10Co4O9,0.0315344,1.4774
mp-1263657,Li10Cr(SiO5)2,0.093614434,0.6955
mp-1178099,Li10Cr3Fe3(NiO8)2,0.064613143,1.7259
mp-756983,Li10Cu(SiO5)2,0.057349649,2.5039
mp-758900,Li10Fe(SiO5)2,0.054992141,1.8141
mp-770854,Li10Fe3Sb7O24,0.082739432,0.7913
mp-761094,Li10FeCo9O20,0.05560467,1.9631
mp-632815,Li10Ge(PO6)2,0.069883411,4.4932
mp-696138,Li10Ge(PS6)2,0.018760534,2.3653
mp-721239,Li10Ge(PSe6)2,0,1.3131
mp-849374,Li10Mg12Fe(PO4)12,0.003092692,4.4803
mp-530738,Li10Mg7Cl24,0.010825446,4.4386
mp-780653,Li10Mn(SiO5)2,0.057021651,0.9482
mp-777350,Li10Mn2Fe3Co3O16,0.086565746,0.7413
mp-760787,Li10Mn2V3Cr3O16,0.062420731,1.8133
mp-777562,Li10Mn3F16,0.050685718,3.3565
mp-1178101,Li10Sc9Fe(SiO3)20,0.005150644,3.0593
mp-721255,Li10Si(PO6)2,0.091915972,5.1063
mp-720509,Li10Si(PS6)2,0.006719743,2.5638
mp-721253,Li10Si(PSe6)2,0,1.4633
mp-767066,Li10Si2NiO10,0.054348121,2.3662
mp-553950,Li10Si2PbO10,0.003691897,2.9603
mp-721238,Li10Sn(PO6)2,0.099351461,3.2726
mp-721236,Li10Sn(PS6)2,0.023375088,2.339
mp-721252,Li10Sn(PSe6)2,0,1.3659
mp-767498,Li10Ti11Nb6O42,0.036060422,1.8835
mp-778830,Li10Ti2Fe3Co3O16,0.096587142,1.4661
mp-774319,Li10Ti2Fe3Ni3O16,0.094089867,1.2175
mp-772260,Li10Ti4O13,0.08404758,3.9595
mp-765779,Li10V(SiO5)2,0.090998872,0.8536
mp-760983,Li10V5Cr3O16,0.080728988,0.6901
mp-1147695,Li10Zn(PS4)4,0.005069963,2.7251
mp-768947,Li10Zn3(GeO4)4,0.013148021,3.1107
mp-3297,Li10Zn4O9,0,2.329
mp-1147627,Li10Zn7(PS4)8,0.00514265,2.6681
mp-769470,Li11Fe(WO4)7,0.045894302,2.8156
mp-766960,Li11Fe12(BO3)12,0.015141317,1.0163
mp-694909,Li11Fe3B24(PbO24)2,0.007825164,1.1731
mp-1178085,Li11Fe5(OF11)2,0.034065664,2.3187
mp-776099,Li11Fe6F29,0.090206146,3.2092
mp-769524,Li11Nb4(Ni3O8)3,0.064707887,1.2261
mp-758440,Li11V16O32,0.037512302,0.6774
mp-849591,Li11V6O5F19,0.069940653,1.0274
mp-849384,Li11V8(PO4)12,0.006442915,0.8757
mp-766567,Li12Co3NiP4(CO7)4,0.044179028,2.84
mp-766547,Li12CoNi3P4(CO7)4,0.060168541,2.9723
mp-1178129,Li12Cr3CoP4(CO7)4,0.074248175,1.5513
mp-766533,Li12Cr3FeP4(CO7)4,0.070451192,2.4471
mp-1178088,Li12Cr3NiP4(CO7)4,0.068407198,2.3781
mp-766700,Li12CrCo3P4(CO7)4,0.053589666,1.2044
mp-766534,Li12CrFe3P4(CO7)4,0.054632408,2.4316
mp-770660,Li12CrGa11O24,0.049245097,1.3461
mp-1178083,Li12CrNi3P4(CO7)4,0.050661371,1.6346
mp-1178117,Li12Fe3CoP4(CO7)4,0.044083242,2.1717
mp-766564,Li12Fe3NiP4(CO7)4,0.046225143,3.1361
mp-766539,Li12FeNi3P4(CO7)4,0.043298866,3.0772
mp-775195,Li12Mn11Fe(PO4)12,0.001875037,3.6905
mp-753075,Li12Mn2O9,0.069539264,0.724
mp-1178081,Li12Mn3CoP4(CO7)4,0.052797353,2.0535
mp-766531,Li12Mn3CrP4(CO7)4,0.061752429,2.3728
mp-767262,Li12Mn3FeP4(CO7)4,0.053362973,3.6464
mp-1178080,Li12Mn3NiP4(CO7)4,0.052910392,2.866
mp-887443,Li12Mn3V5(PO4)12,0.023278053,0.5555
mp-766509,Li12Mn3VP4(CO7)4,0.059866221,2.6856
mp-1178090,Li12Mn7V(PO4)12,0.011519824,0.6222
mp-766814,Li12MnCo3P4(CO7)4,0.047109558,2.0062
mp-1178079,Li12MnCr3P4(CO7)4,0.070045042,2.6193
mp-766510,Li12MnFe3P4(CO7)4,0.048218237,3.378
mp-766513,Li12MnNi3P4(CO7)4,0.04561207,2.736
mp-861267,Li12MnV3P4(CO7)4,0.068292986,2.7204
mp-1199885,Li12Mo5O17,0.008728422,1.2811
mp-767604,Li12Nb14ZnO42,0.006906107,3.258
mp-759703,Li12Ni11O28,0.066434533,0.6336
mp-766588,Li12V3CoP4(CO7)4,0.066470228,0.8536
mp-766538,Li12V3CrP4(CO7)4,0.07572837,1.9742
mp-766535,Li12V3FeP4(CO7)4,0.067285107,2.3246
mp-1178087,Li12V3NiP4(CO7)4,0.065536375,2.0119
mp-766565,Li12VCo3P4(CO7)4,0.055428112,0.7799
mp-766537,Li12VCr3P4(CO7)4,0.081089594,1.9837
mp-766566,Li12VFe3P4(CO7)4,0.052558332,2.3268
mp-766677,Li12VNi3P4(CO7)4,0.049223976,1.5977
mp-759819,Li13Mn17O40,0.013613862,0.5161
mp-760049,Li13Mn3(SbO8)2,0.073469636,1.1465
mp-764234,Li13Mn3Nb2O16,0.092192822,1.0313
mp-777360,Li13V24O52,0.096895541,0.5977
mp-504263,Li14Co9(P2O7)8,0.046054876,2.1437
mp-759443,Li14Cr9(P2O7)8,0.054106571,2.7124
mp-781016,Li14Fe4O13,0.09938454,2.3295
mp-770530,Li14Mn2O9,0.047396806,2.5939
mp-756198,Li14Mn2S9,0.007765854,1.5171
mp-764848,Li14Mn5F24,0.073143231,3.5262
mp-705402,Li14Mn9(P2O7)8,0.035777263,3.7787
mp-1223420,Li14Nd5Si11N19O7F2,0.014714272,2.7504
mp-540237,Li14Ni9(P2O7)8,0.023449304,3.9337
mp-1020011,Li14P2(N2O)3,0,3.6018
mp-765044,Li14V9(P2O7)8,0.047109552,2.5301
