formula,SIC,,,,,,
K2LiCrF6,0.131746,,,,,,
K2LiCuF6,0.13063025,,,,,,
K2LiDyCl6,0.3912329,,,,,,
K2LiErCl6,0.3912329,,,,,,
K2LiEuCl6,0.3912329,,,,,,
K2LiFeO3,0.09592648,,,,,,
K2LiGaAs2,0.19849336,,,,,,
K2LiGaF6,0.131746,,,,,,
K2LiGdCl6,0.3912329,,,,,,
K2LiIn(MoO4)3,0.7309491,,,,,,
K2LiInAs2,0.19849336,,,,,,
K2LiInCl6,0.3912329,,,,,,
K2LiInF6,0.23240581,,,,,,
K2LiIrF6,0.13264367,,,,,,
K2LiLaCl6,0.3912329,,,,,,
K2LiLuCl6,0.3912329,,,,,,
K2LiMn2O4,0.01376976,,,,,,
K2LiMnPCO7,0.19085988,,,,,,
K2LiMoBr6,0.3948844,,,,,,
K2LiMoCl6,0.3912329,,,,,,
K2LiMoI6,0.38508052,,,,,,
K2LiNb6(PO8)3,0.143341325,,,,,,
K2LiNbF6,0.23240581,,,,,,
K2LiNbO4,0.01333344,,,,,,
K2LiNdBr6,0.3948844,,,,,,
K2LiNdCl6,0.3912329,,,,,,
K2LiNdF6,0.23415847,,,,,,
K2LiNdI6,0.39882776,,,,,,
K2LiP3HO9,0.2669119,,,,,,
K2LiP3O10,0.07364798,,,,,,
K2LiPdF6,0.183668125,,,,,,
K2LiPrBr6,0.3948844,,,,,,
K2LiPrCl6,0.3912329,,,,,,
K2LiPrI6,0.39882776,,,,,,
K2LiRhF6,0.23240581,,,,,,
K2LiRuF6,0.13485125,,,,,,
K2LiSbBr6,0.415387,,,,,,
K2LiSbCl6,0.4108758,,,,,,
K2LiSbF6,0.10680781,,,,,,
K2LiSbI6,0.78781426,,,,,,
K2LiScCl6,0.3912329,,,,,,
K2LiScF6,0.13264367,,,,,,
K2LiSmCl6,0.3912329,,,,,,
K2LiSn4,0.50707734,,,,,,
K2LiTa6(PO8)3,0.15423319,,,,,,
K2LiTaBr6,0.3948844,,,,,,
K2LiTaCl6,0.39053792,,,,,,
K2LiTaF6,0.24494517,,,,,,
K2LiTaI6,0.39882776,,,,,,
K2LiTbCl6,0.3912329,,,,,,
K2LiTe2,0.46000442,,,,,,
K2LiTi2(AsO5)2,0.07912053,,,,,,
K2LiTiF6,0.13508923,,,,,,
K2LiTlBr6,0.3948844,,,,,,
K2LiTlCl6,0.3912329,,,,,,
K2LiTlF6,0.13508923,,,,,,
K2LiTmCl6,0.3912329,,,,,,
K2LiV5H10O19,0.4856793,,,,,,
K2LiVF6,0.23240581,,,,,,
K2LiVO4,0.09522832,,,,,,
K2LiVPO6,0.07814623,,,,,,
K2LiVS4,0.04241193,,,,,,
K2LiYBr6,0.3948844,,,,,,
K2LiYCl6,0.3912329,,,,,,
K2LiYF6,0.23240581,,,,,,
K2LiYI6,0.39882776,,,,,,
K3Li,0.68072124,,,,,,
K3Li2Nb5O15,0.014060855,,,,,,
K3Li2Nb6(PO8)3,0.01111195,,,,,,
K3Li2Ta6(PO8)3,0.01097302,,,,,,
K3Li3P6O19,0.00981419,,,,,,
K3Li3TeO6,0.02656036,,,,,,
K3Li5Al6Si10(O5F)6,0.01308282,,,,,,
K3LiIrO4,0.10294793,,,,,,
K3LiMg4(Si2O5)6,0.06901461,,,,,,
K3LiMn4(MoO4)6,0.84135467,,,,,,
K3LiNb6O15,0.01837623,,,,,,
K3LiP2O7,0.06297092,,,,,,
K3LiPb4,0.49935254,,,,,,
K3LiSi4,0.15907867,,,,,,
K3LiSiO4,0.01010124,,,,,,
K3LiTi7O16,0.10133312,,,,,,
K3Na2LiTeO6,0.05212633,,,,,,
K4Li3(FeO4)2,0.01259188,,,,,,
K4Li3Mn2O8,0.01439138,,,,,,
K4Li3Nb18P12(WO42)2,0.51316583,,,,,,
K4Li5(FeO4)2,0.01961935,,,,,,
K4Li5Cr2O8,0.16022229,,,,,,
K4Li5Mn2O8,0.01483736,,,,,,
K4Li5Ti8(PO5)8,0.01917093,,,,,,
K4Li7Mn2O8,0.01764178,,,,,,
K4LiH3(SO4)4,0.207621385,,,,,,
K4LiIO6,0.05977021,,,,,,
K5Li2EuF10,0.12703118,,,,,,
K5Li2NdF10,0.12703118,,,,,,
K5Li2PrF10,0.12703118,,,,,,
K5Li3Ti8(AsO5)8,0.02233238,,,,,,
K5LiGe2O7,0.01652159,,,,,,
K6LiFe24S26Cl,0.19782129,,,,,,
K7LiSi8,0.15907867,,,,,,
K8Li13(FeO4)4,0.01427922,,,,,,
K8Li3(FeO4)4,0.01237925,,,,,,
K8Li31Al8O32,0.01928367,,,,,,
K8Li3Cr4O16,0.01320691,,,,,,
K8Li9(FeO4)4,0.16116537,,,,,,
K8Li9Cr4O16,0.16116537,,,,,,
K8Li9Mn4O16,0.01561937,,,,,,
K9Li3I2O13,0.07531522,,,,,,
K9Li3Nd3(BO3)7,0.4334259,,,,,,
KBaLiZnF6,0.7774101,,,,,,
KLi(PO3)2,0.01447383,,,,,,
KLi(WO3)3,0.03029161,,,,,,
KLi(WO3)6,0.0406425,,,,,,
KLi2(HO)3,0.024094015,,,,,,
KLi2AlSi4(O5F)2,0.024747645,,,,,,
KLi2As,0.9304673,,,,,,
KLi2BO3,0.6336143,,,,,,
KLi2FeO3,0.014847837,,,,,,
KLi2Mn2O4,0.02317862,,,,,,
KLi2MnPCO7,0.2196476,,,,,,
KLi2Sb(PO4)2,0.02223102,,,,,,
KLi3,0.6914149,,,,,,
KLi3Ca7Ti2(Si6O19)2,0.7066503,,,,,,
KLi3GeO4,0.01868673,,,,,,
KLi3PbO4,0.01258105,,,,,,
KLi3Si12(SnO15)2,0.11478909,,,,,,
KLi3Zr2(Si2O5)6,0.11147912,,,,,,
KLi4AlO4,0.02207989,,,,,,
KLi4CrO5,0.03988688,,,,,,
KLi4FeO5,0.05285407,,,,,,
KLi4NbO5,0.02084967,,,,,,
KLi6BiO6,0.38638943,,,,,,
KLi6IrO6,0.39845932,,,,,,
KLi6TaO6,0.41959214,,,,,,
KLi7(H2N)8,0.25178096,,,,,,
KLiAl2Si4(O5F)2,0.018043,,,,,,
KLiB4O7,0.02639229,,,,,,
KLiBeF4,0.01203765,,,,,,
KLiCO3,0.4440868,,,,,,
KLiCoO2,0.2419542,,,,,,
KLiCrO4,0.01374238,,,,,,
KLiDy2(MoO4)4,0.7672545,,,,,,
KLiEr2(MoO4)4,0.7649716,,,,,,
KLiGd2(MoO4)4,0.7649716,,,,,,
KLiH2WO5,0.38056612,,,,,,
KLiHo2(MoO4)4,0.7649716,,,,,,
KLiICl,0.93443143,,,,,,
KLiLu2(MoO4)4,0.7656495,,,,,,
KLiMg30O31,0.05752504,,,,,,
KLiMg6O7,0.09870993,,,,,,
KLiMnO2,0.066710255,,,,,,
KLiMnP3HO10,0.1741709,,,,,,
KLiMnPCO7,0.1560313,,,,,,
KLiMnS2,0.4674673,,,,,,
